ZIPCode,State,City,County,Latitude,Longitude
03901,ME,Berwick,York,43.29,-70.84
03902,ME,Cape Neddick,York,43.21,-70.63
03903,ME,South Eliot,York,43.15,-70.79
03904,ME,Kittery,York,43.1,-70.74
03905,ME,Kittery Point,York,43.08,-70.69
03906,ME,North Berwick,York,43.33,-70.76
03907,ME,Ogunquit,York,43.25,-70.6
03908,ME,South Berwick,York,43.23,-70.78
03909,ME,York,York,43.16,-70.65
03910,ME,Cape Neddick,York,43.17,-70.61
03911,ME,York Harbor,York,43.13,-70.63
04001,ME,Acton,York,43.53,-70.92
04002,ME,Alfred,York,43.5,-70.69
04003,ME,Bailey Island,Cumberland,43.72,-70
04004,ME,Bar Mills,York,43.67,-70.6
04005,ME,Biddeford,York,43.49,-70.47
04006,ME,Biddeford,York,43.44,-70.34
04007,ME,Biddeford,York,43.47,-70.44
04008,ME,Bowdoinham,Sagadahoc,44.02,-69.88
04009,ME,Bridgton,Cumberland,44.06,-70.73
04010,ME,Brownfield,Oxford,43.94,-70.91
04011,ME,Brunswick,Cumberland,43.9,-69.95
04013,ME,Bustins Island,Cumberland,43.8,-70.07
04014,ME,Cape Porpoise,York,43.41,-70.48
04015,ME,Casco,Cumberland,43.95,-70.53
04016,ME,Center Lovell,Oxford,44.17,-70.87
04017,ME,Chebeague Island,Cumberland,43.73,-70.11
04019,ME,Portland,Cumberland,43.7,-70.11
04020,ME,Cornish,York,43.77,-70.81
04021,ME,Cumberland Center,Cumberland,43.8,-70.26
04022,ME,Denmark,Oxford,43.98,-70.81
04024,ME,East Baldwin,Cumberland,43.82,-70.68
04027,ME,Lebanon,York,43.4,-70.91
04028,ME,East Parsonsfield,York,43.77,-70.92
04029,ME,Sebago,Cumberland,43.89,-70.68
04030,ME,East Waterboro,York,43.59,-70.7
04032,ME,Freeport,Cumberland,43.85,-70.1
04033,ME,Freeport,Cumberland,43.86,-70.1
04034,ME,Freeport,Cumberland,43.86,-70.11
04037,ME,Fryeburg,Oxford,44.06,-70.95
04038,ME,Gorham,Cumberland,43.7,-70.46
04039,ME,Gray,Cumberland,43.89,-70.34
04040,ME,Harrison,Cumberland,44.12,-70.74
04041,ME,Hiram,Oxford,43.87,-70.83
04042,ME,Hollis Center,York,43.63,-70.62
04043,ME,Kennebunk,York,43.39,-70.55
04046,ME,Kennebunkport,York,43.4,-70.47
04047,ME,Parsonsfield,York,43.75,-70.89
04048,ME,Limerick,York,43.69,-70.77
04049,ME,Limington,York,43.74,-70.7
04050,ME,Long Island,Cumberland,43.69,-70.15
04051,ME,Lovell,Oxford,44.17,-70.89
04054,ME,Moody,York,43.33,-70.6
04055,ME,Naples,Cumberland,43.96,-70.61
04056,ME,Newfield,York,43.65,-70.85
04057,ME,Bridgton,Cumberland,44.1,-70.7
04061,ME,Lake Arrowhead,York,43.65,-70.73
04062,ME,Windham,Cumberland,43.81,-70.42
04063,ME,Old Orchard Beach,York,43.5,-70.39
04064,ME,Old Orchard Beach,York,43.52,-70.39
04066,ME,Orrs Island,Cumberland,43.77,-69.97
04068,ME,Porter,Oxford,43.83,-70.93
04069,ME,Pownal,Cumberland,43.91,-70.18
04070,ME,Scarborough,Cumberland,43.6,-70.33
04071,ME,Raymond,Cumberland,43.91,-70.47
04072,ME,Saco,York,43.52,-70.44
04073,ME,Sanford,York,43.43,-70.75
04074,ME,Scarborough,Cumberland,43.59,-70.35
04076,ME,Shapleigh,York,43.55,-70.85
04077,ME,South Casco,Cumberland,43.87,-70.51
04078,ME,South Freeport,Cumberland,43.82,-70.11
04079,ME,Harpswell,Cumberland,43.8,-69.95
04082,ME,South Windham,Cumberland,43.73,-70.44
04083,ME,Springvale,York,43.47,-70.8
04084,ME,Standish,Cumberland,43.76,-70.57
04085,ME,Steep Falls,Cumberland,43.77,-70.64
04086,ME,Topsham,Sagadahoc,43.94,-69.96
04087,ME,Waterboro,York,43.55,-70.74
04088,ME,Waterford,Oxford,44.19,-70.71
04090,ME,Wells,York,43.32,-70.61
04091,ME,West Baldwin,Cumberland,43.82,-70.75
04092,ME,Westbrook,Cumberland,43.68,-70.36
04093,ME,Buxton,York,43.65,-70.54
04094,ME,West Kennebunk,York,43.43,-70.63
04095,ME,West Newfield,York,43.63,-70.94
04096,ME,Yarmouth,Cumberland,43.8,-70.18
04097,ME,North Yarmouth,Cumberland,43.85,-70.23
04098,ME,Westbrook,Cumberland,43.68,-70.36
04101,ME,Portland,Cumberland,43.66,-70.26
04102,ME,Portland,Cumberland,43.66,-70.3
04103,ME,Portland,Cumberland,43.68,-70.29
04104,ME,Portland,Cumberland,43.66,-70.26
04105,ME,Falmouth,Cumberland,43.74,-70.27
04106,ME,South Portland,Cumberland,43.63,-70.28
04107,ME,Cape Elizabeth,Cumberland,43.6,-70.23
04108,ME,Portland,Cumberland,43.66,-70.19
04109,ME,Portland,Cumberland,43.67,-70.2
04110,ME,Cumberland Foreside,Cumberland,43.77,-70.2
04112,ME,Portland,Cumberland,43.67,-70.21
04116,ME,South Portland,Cumberland,43.66,-70.27
04122,ME,Portland,Cumberland,43.65,-70.33
04123,ME,Portland,Cumberland,43.66,-70.31
04124,ME,Portland,Cumberland,43.65,-70.33
04210,ME,Auburn,Androscoggin,44.09,-70.24
04211,ME,Auburn,Androscoggin,44.08,-70.25
04212,ME,Auburn,Androscoggin,44.08,-70.25
04216,ME,Andover,Oxford,44.69,-70.8
04217,ME,Bethel,Oxford,44.38,-70.82
04219,ME,Bryant Pond,Oxford,44.42,-70.62
04220,ME,Buckfield,Oxford,44.32,-70.35
04221,ME,Canton,Oxford,44.45,-70.31
04222,ME,Durham,Androscoggin,43.97,-70.13
04223,ME,Danville,Androscoggin,44.03,-70.28
04224,ME,Dixfield,Oxford,44.56,-70.42
04225,ME,Dryden,Franklin,44.59,-70.21
04226,ME,East Andover,Oxford,44.62,-70.7
04227,ME,East Dixfield,Oxford,44.57,-70.29
04228,ME,East Livermore,Androscoggin,44.43,-70.11
04230,ME,East Poland,Androscoggin,44.02,-70.39
04231,ME,Stoneham,Oxford,44.26,-70.85
04234,ME,East Wilton,Franklin,44.62,-70.19
04236,ME,Greene,Androscoggin,44.19,-70.15
04237,ME,Hanover,Oxford,44.49,-70.73
04238,ME,Hebron,Oxford,44.21,-70.38
04239,ME,Jay,Franklin,44.52,-70.22
04240,ME,Lewiston,Androscoggin,44.1,-70.19
04241,ME,Lewiston,Androscoggin,44.09,-70.17
04243,ME,Lewiston,Androscoggin,44.09,-70.17
04250,ME,Lisbon,Androscoggin,44.03,-70.11
04252,ME,Lisbon Falls,Androscoggin,44.01,-70.06
04253,ME,Livermore,Androscoggin,44.4,-70.22
04254,ME,Livermore Falls,Androscoggin,44.45,-70.16
04255,ME,Greenwood,Oxford,44.36,-70.67
04256,ME,Mechanic Falls,Androscoggin,44.11,-70.4
04257,ME,Mexico,Oxford,44.56,-70.54
04258,ME,Minot,Androscoggin,44.14,-70.34
04259,ME,Monmouth,Kennebec,44.23,-70
04260,ME,New Gloucester,Cumberland,43.97,-70.3
04261,ME,Newry,Oxford,44.57,-70.89
04262,ME,North Jay,Franklin,44.53,-70.21
04263,ME,Leeds,Androscoggin,44.3,-70.14
04265,ME,North Monmouth,Kennebec,44.28,-70.04
04266,ME,North Turner,Androscoggin,44.33,-70.26
04267,ME,North Waterford,Oxford,44.21,-70.8
04268,ME,Norway,Oxford,44.23,-70.57
04270,ME,Oxford,Oxford,44.12,-70.5
04271,ME,Paris,Oxford,44.26,-70.5
04274,ME,Poland,Androscoggin,44.05,-70.39
04275,ME,Roxbury,Oxford,44.71,-70.63
04276,ME,Rumford,Oxford,44.54,-70.57
04280,ME,Sabattus,Androscoggin,44.13,-70.08
04281,ME,South Paris,Oxford,44.23,-70.51
